date,subject,action,object,topic,description,location,ref_title,ref_url
2015-02-14,第拾貳次不得宣傳罷免黑客松,,,大松,,,,http://beta.hackfoldr.org/g0v-hackath12n
2015-03-28,第九次萌典,,,萌典,,,,https://g0v-tw.kktix.cc/events/moedict-3-28
2015-04-11,零時前端x設計松,,,零時前端x設計松,"本次為第四次零時前端教學松與第一次零時設計松的松併松

希望參與的設計師、前端工程師，都能從彼此身上學到東西，形成學伴的概念",遠傳大樓,,https://g0v.hackpad.tw/x-FrFF9dZJK6z
2015-04-18,第拾參次無殼蝸牛黑客松,,,大松,,,,http://beta.hackfoldr.org/g0v-hackath13n
2015-05-02,g0v summit 2014 回味松,,,summit,,,,https://g0v.hackpad.tw/g0v-summit-2014--XmxOuuxLxpo
2015-05-30,第十次萌典松,,,萌典,,,,https://g0v.hackpad.tw/5-moed10ct#5-moed10ct
2015-06-13,第拾肆次野百合黑客松,,,大松,,,,http://beta.hackfoldr.org/g0v-hackath14n
2015-06-27,沒有人,製作,八仙粉塵爆炸傷者開放資料查詢,八仙粉塵爆炸,八仙粉塵爆炸傷者開放資料查詢,,,https://g0v.github.io/color/
2015-06-28,沒有人,彙整,八仙塵暴資訊,八仙粉塵爆炸,八仙塵爆資訊匯整,,,https://beta.hackfoldr.org/627pray/?fbclid=IwAR0RS6GOPXYuK88pXA2wJTaUtk2eNxUQDLJXORInkXmkZMzFNVLiBFXZnmI
2015-07-18,第十一次萌典松,,,萌典,,,,https://g0v.hackpad.tw/7-moed11ct#7-moed11ct
2015-08-22,第拾伍次資料科學黑客松,,,大松,,,,http://beta.hackfoldr.org/g0v-hackath15n
2015-10-03,第十二次萌典松,,,萌典,,,,https://g0v.hackpad.tw/10-moed12ct
2015-10-24,第拾陸次刑法一百黑客松,,,大松,,,,http://beta.hackfoldr.org/g0v-hackath16n
2015-11-14,第十三次萌典松,,,萌典,,,,https://g0v.hackpad.tw/-moed13ct-fC9waMmFmnN
2015-12-26,第拾柒次立委改選黑客松,,,大松,,,,http://beta.hackfoldr.org/g0v-hackath17n
2016-01-01,g0v 揪松團,招募,職工,揪松,,,,
2016-02-20,第十四次萌典松,,,萌典,,,,https://g0v.hackpad.tw/-moed14ct-oeBceDBeNA2
2016-03-05,第拾捌次亞太營運黑客松,,,大松,,,,http://beta.hackfoldr.org/g0v-hackath18n
2016-04-16,第十五次萌典松,,,萌典,,,,https://g0v.hackpad.tw/-moed15ct-Ksr7HH0T9Pd
2016-05-14,g0v Summit 2016 拆後重建,,,summit ,,中央研究院,,https://summit.g0v.tw/2016/
2016-05-15,g0v Summit 2016 拆後重建,,,summit ,,中央研究院,,https://summit.g0v.tw/2016/
2016-06-12,第壹次基礎建設松,,,基礎松,,,,https://beta.hackfoldr.org/g0v-infras/
2016-06-18,第拾玖次飛彈試射黑客松,,,大松,,,,https://beta.hackfoldr.org/g0v-hackath19n
2016-07-03,第貳次基礎建設松,,,基礎松,,,,https://beta.hackfoldr.org/g0v-infras/
2016-07-23,第十六次萌典松,,,萌典,,,,https://g0v.hackpad.tw/-moed16ct-5u9QrhicuIy
2016-07-23,第參次基礎建設松,,,基礎松,,,,https://beta.hackfoldr.org/g0v-infras/
2016-08-06,第貳拾次總統直選黑客松,,,大松,,,,https://beta.hackfoldr.org/g0v-hackath20n
2016-08-25,第肆次基礎建設松,,,基礎松,,,,https://beta.hackfoldr.org/g0v-infras/
2016-10-01,第十七次萌典松,,,萌典,,,,https://g0v.hackpad.tw/-moed17ct-lSO9U2PIh2X
2016-10-08,第伍次基礎建設松,,,基礎松,,,,https://beta.hackfoldr.org/g0v-infras/
2016-10-15,第貳拾壹次根留台灣黑客松,,,大松,,,,https://beta.hackfoldr.org/g0v-hackath21n
